CNPq_Id,Akey
0,Abilio Lucena
1,Adenilso da Silva Simão
1,Adenilso Simão
2,Adriana Santarosa Vivacqua
2,Adriana S. Vivacqua
3,Adriano Veloso
3,Adriano Alonso Veloso
4,Adriano L. I. Oliveira
4,Adriano L. I. de Oliveira
4,Adriano Lorena Inácio de Oliveira
4,Adriano Lorena Inacio de Oliveira
5,Afonso Paiva
6,Agma J. M. Traina
6,Agma Juci Machado Traina
7,Alba Cristina Magalhaes Alves de Melo
7,Alba de Melo
8,Alberto H. F. Laender
9,Alceu de Souza Britto Jr.
9,Alceu S. Britto Jr.
10,Aldo von Wangenheim
11,Aldri L. dos Santos
11,Aldri Luiz dos Santos
11,Aldri Santos
12,Alejandro César Frery
12,Alejandro C. Frery
13,Alessandro Garcia
13,Alessandro F. Garcia
13,Alessandro Fabricio Garcia
14,Alessandro L. Koerich
14,Alessandro Lameiras Koerich
15,Alexandre Plastino
15,Alexandre P. de Carvalho
16,Alexandre X. Falcão
16,Alexandre Xavier Falcão
17,Alfredo Goldman
17,Alfredo Goldman vel Lejbman
18,Altigran Soares da Silva
19,Aluizio F. R. Araújo
19,Aluizio Fausto Ribeiro Araújo
19,Aluizio F. R. Araujo
20,Ana Carolina Lorena
21,Ana Cristina Bicharra Garcia
22,Ana L. C. Bazzan
22,Ana Lúcia C. Bazzan
23,Ana Paula Couto da Silva
24,Ana Silva
25,Ana Teresa C. Martins
27,Anderson Maciel
26,Anderson Rocha
26,Anderson de Rezende Rocha
28,André Carlos Ponce Leon Ferreira de Carvalho
28,André C. P. L. F. Carvalho
28,André Carlos Ponce de Leon Ferreira de Carvalho
31,André L. L. de Aquino
31,André Luiz Lins de Aquino
31,André Luiz Lins Aquino
29,André Fujita
30,André L. V. Coelho
30,André Luís Vasconcelos Coelho
32,André Ricardo Backes
33,André Santanchè
34,Anelise Munaretto
34,Anelise Munaretto Fonseca
35,Angelo Brayner
35,Ângelo Roncalli Alencar Brayner
36,Anna Helena Reali Costa
37,Anne M. P. Canuto
37,Anne Magaly de Paula Canuto
38,Anselmo Cardoso de Paiva
39,Antonio A. F. Oliveira
