,Name,GS_Name,CNPqLevel,Begin,End,University,GS_Name,GS_Link,GS_H5,GS_Cits,GS_H5_2010,GS_Cits_2010
0,Abilio Pereira de Lucena Filho,,1C,01/03/14,28/02/2018,UFRJ,,,,,,
1,Adenilso da Silva Simão,Adenilso Simao,2,01/03/13,29/02/2016,USP,Adenilso Simao,/citations?user=gdT5wnMAAAAJ&hl=pt-BR,13.0,632.0,12.0,460.0
2,Adriana Santarosa Vivacqua,,2,01/03/13,29/02/2016,UFRJ,,,,,,
3,Adriano Alonso Veloso,Adriano Veloso,2,01/03/12,28/02/2015,UFMG,Adriano Veloso,/citations?user=j2BEVSoAAAAJ&hl=pt-BR,17.0,1003.0,16.0,716.0
4,Adriano Lorena Inacio de Oliveira,Adriano L I Oliveira,2,01/03/13,29/02/2016,UFPE,Adriano L I Oliveira,/citations?user=paz29H4AAAAJ&hl=pt-BR,14.0,675.0,11.0,443.0
5,Afonso Paiva Neto,Afonso Paiva,2,01/03/14,28/02/2017,USP,Afonso Paiva,/citations?user=b7cto6oAAAAJ&hl=pt-BR,6.0,151.0,5.0,112.0
6,Agma Juci Machado Traina,Agma J. M. Traina,1B,01/03/14,28/02/2018,USP,Agma J. M. Traina,/citations?user=v2-C4i4AAAAJ&hl=pt-BR,26.0,3010.0,19.0,1566.0
7,Alba Cristina Magalhães Alves de Melo,Alba Cristina Magalhaes Alves de Melo,1D,01/03/11,28/02/2015,UNB,Alba Cristina Magalhaes Alves de Melo,/citations?user=vM_I8f4AAAAJ&hl=pt-BR,12.0,396.0,10.0,277.0
8,Alberto Henrique Frade Laender,Alberto H. F. Laender,1A,01/03/14,28/02/2019,UFMG,Alberto H. F. Laender,/citations?user=HJhu4csAAAAJ&hl=pt-BR,29.0,3684.0,19.0,1678.0
9,Alceu de Souza Britto Jr,Alceu de Souza Britto Jr,1D,01/08/13,28/02/2015,PUC/PR,Alceu de Souza Britto Jr,/citations?user=pRK8DCUAAAAJ&hl=pt-BR,15.0,720.0,12.0,467.0
10,Aldo von Wangenheim,Aldo von Wangenheim,2,01/03/12,28/02/2015,UFSC,Aldo von Wangenheim,/citations?user=a7XTMeIAAAAJ&hl=pt-BR,14.0,1057.0,12.0,585.0
11,Aldri Luiz dos Santos,Aldri Luiz dos Santos,2,01/03/12,28/02/2015,UFPR,Aldri Luiz dos Santos,/citations?user=6ITeLGEAAAAJ&hl=pt-BR,11.0,773.0,10.0,632.0
12,Alejandro César Frery Orgambide,,1B,01/03/14,28/02/2018,UFAL,,,,,,
13,Alessandro Fabricio Garcia,Alessandro Garcia,1D,01/06/13,31/05/2017,PUC-Rio,Alessandro Garcia,/citations?user=rP1LYboAAAAJ&hl=pt-BR,34.0,5069.0,24.0,2599.0
14,Alessandro Lameiras Koerich,,2,01/03/14,28/02/2017,PUC/PR,,,,,,
15,Alexandre Plastino de Carvalho,Alexandre Plastino,2,01/03/13,29/02/2016,UFF,Alexandre Plastino,/citations?user=axlvTZoAAAAJ&hl=pt-BR,11.0,387.0,9.0,199.0
16,Alexandre Xavier Falcão,,1C,01/03/11,28/02/2015,UNICAMP,,,,,,
17,Alfredo Goldman vel Lejbman,,2,01/03/14,28/02/2017,USP,,,,,,
18,Altigran Soares da Silva,Altigran Soares da Silva,1D,01/03/11,28/02/2015,UFAM,Altigran Soares da Silva,/citations?user=Ka6w1vgAAAAJ&hl=pt-BR,26.0,3053.0,18.0,1450.0
19,Aluizio Fausto Ribeiro Araújo,,1D,01/03/11,28/02/2015,UFPE,,,,,,
20,Ana Carolina Lorena,Ana Carolina Lorena,2,01/03/12,28/02/2015,UFABC,Ana Carolina Lorena,/citations?user=u-rR21wAAAAJ&hl=pt-BR,14.0,693.0,11.0,513.0
21,Ana Cristina Bicharra Garcia,Ana Cristina Bicharra Garcia,2,01/03/13,29/02/2016,UFF,Ana Cristina Bicharra Garcia,/citations?user=qN-wg74AAAAJ&hl=pt-BR,14.0,886.0,8.0,387.0
22,Ana Lucia Cetertich Bazzan,Ana Bazzan,1C,01/03/14,28/02/2018,UFRGS,Ana Bazzan,/citations?user=K6Z40w0AAAAJ&hl=pt-BR,26.0,2617.0,19.0,1405.0
23,Ana Paula Couto da Silva,Ana Paula Couto da Silva,2,01/03/12,28/02/2015,UFJF,Ana Paula Couto da Silva,/citations?user=XDMj6u8AAAAJ&hl=pt-BR,9.0,293.0,9.0,250.0
24,Ana Shirley Ferreira da Silva,,2,01/03/14,28/02/2017,UFC,,,,,,
25,Ana Teresa de Castro Martins,,2,01/03/14,28/02/2017,UFC,,,,,,
26,Anderson de Rezende Rocha,Prof. Dr. Anderson Rocha,2,01/03/13,29/02/2016,UNICAMP,Prof. Dr. Anderson Rocha,/citations?user=JX1fykMAAAAJ&hl=pt-BR,16.0,913.0,15.0,836.0
27,Anderson Maciel,Anderson Maciel,2,01/03/13,29/02/2016,UFRGS,Anderson Maciel,/citations?user=GC-IHBoAAAAJ&hl=pt-BR,11.0,416.0,8.0,234.0
28,Andre Carlos Ponce de Leon Ferreira de Carvalho,Andre C Ponce de Leon F de Carvalho,1B,01/03/12,29/02/2016,USP,Andre C Ponce de Leon F de Carvalho,/citations?user=B3L9jQMAAAAJ&hl=pt-BR,30.0,4793.0,25.0,2880.0
29,André Fujita,Andr Fujita,2,01/03/14,28/02/2017,USP,Andr Fujita,/citations?user=R2gGcVYAAAAJ&hl=pt-BR,13.0,603.0,12.0,525.0
30,André Luís Vasconcelos Coelho,Andr L. V. Coelho,2,01/03/13,29/02/2016,UNIFOR,Andr L. V. Coelho,/citations?user=_MScF7AAAAAJ&hl=pt-BR,12.0,507.0,10.0,355.0
31,Andre Luiz Lins de Aquino,Andre L L Aquino,2,01/03/14,28/02/2017,UFAL,Andre L L Aquino,/citations?user=EwdlgywAAAAJ&hl=pt-BR,10.0,278.0,8.0,225.0
32,André Ricardo Backes,Andr Backes,2,01/03/13,29/02/2016,UFU,Andr Backes,/citations?user=cLea7iUAAAAJ&hl=pt-BR,13.0,557.0,12.0,513.0
33,André Santanchè,Andr Santanch,2,01/03/13,29/02/2016,UNICAMP,Andr Santanch,/citations?user=lnv8uOEAAAAJ&hl=pt-BR,8.0,389.0,6.0,190.0
34,Anelise Munaretto Fonseca,,2,01/03/12,28/02/2015,UTFPR,,,,,,
35,Angelo Roncalli Alencar Brayner,,2,01/03/12,28/02/2015,UNIFOR,,,,,,
36,Anna Helena Reali Costa,Anna Helena Reali Costa,2,01/03/12,28/02/2015,USP,Anna Helena Reali Costa,/citations?user=01x3kSUAAAAJ&hl=pt-BR,12.0,586.0,8.0,305.0
37,Anne Magaly de Paula Canuto,,2,01/03/13,29/02/2016,UFRN,,,,,,
38,Anselmo Cardoso de Paiva,Anselmo Cardoso de Paiva,2,01/03/12,28/02/2015,UFMA,Anselmo Cardoso de Paiva,/citations?user=mi0Lt0kAAAAJ&hl=pt-BR,13.0,466.0,9.0,356.0
39,Antonio Alberto Fernandes de Oliveira,,1D,01/03/12,29/02/2016,UFRJ,,,,,,
40,Antonio Alfredo Ferreira Loureiro,Antonio Loureiro,1B,01/03/11,28/02/2015,UFMG,Antonio Loureiro,/citations?user=GOGlTIMAAAAJ&hl=pt-BR,40.0,6380.0,29.0,4199.0
41,Antonio Augusto de Aragao Rocha,Antonio Rocha,2,01/03/14,28/02/2017,UFF,Antonio Rocha,/citations?user=C_3SJ4oAAAAJ&hl=pt-BR,6.0,244.0,6.0,223.0
