Shamkant B. Navathe,Georgia Institute of Technology
Janet L. Kolodner,Georgia Institute of Technology
Hyesoon Kim,Georgia Institute of Technology
Pablo Laguna,Georgia Institute of Technology
Nancy J. Nersessian,Georgia Institute of Technology
Umakishore Ramachandran,Georgia Institute of Technology
Eric Vigoda,Georgia Institute of Technology
Charles Lee Isbell Jr.,Georgia Institute of Technology
Charles L. Isbell,Georgia Institute of Technology
Charles L. Isbell Jr.,Georgia Institute of Technology
Constantine Dovrolis,Georgia Institute of Technology
Patrick Traynor,Georgia Institute of Technology
Mayur Naik,Georgia Institute of Technology
Ling Liu,Georgia Institute of Technology
H. Venkateswaran,Georgia Institute of Technology
Marilyn Wolf,Georgia Institute of Technology
Alberto Apostolico,Georgia Institute of Technology
Ashwin Ram,Georgia Institute of Technology
Henrik I. Christensen,Georgia Institute of Technology
Andrea Lockerd Thomaz,Georgia Institute of Technology
Leo Mark,Georgia Institute of Technology
Richard W. Vuduc,Georgia Institute of Technology
Jacob Eisenstein,Georgia Institute of Technology
Santosh Pande,Georgia Institute of Technology
Melody M. Moore,Georgia Institute of Technology
Melody Moore Jackson,Georgia Institute of Technology
Richard A. DeMillo,Georgia Institute of Technology
William B. Rouse,Georgia Institute of Technology
Tucker R. Balch,Georgia Institute of Technology
Tucker Balch,Georgia Institute of Technology
Albert N. Badre,Georgia Institute of Technology
Richard M. Fujimoto,Georgia Institute of Technology
Zvi Galil,Georgia Institute of Technology
Chris Peikert,Georgia Institute of Technology
Mary Jean Harrold,Georgia Institute of Technology
Haesun Park,Georgia Institute of Technology
Charles C. Kemp,Georgia Institute of Technology
Richard Catrambone,Georgia Institute of Technology
Edmond Chow,Georgia Institute of Technology
Blair MacIntyre,Georgia Institute of Technology
Vijay V. Vazirani,Georgia Institute of Technology
Frank Dellaert,Georgia Institute of Technology
Prasad Tetali,Georgia Institute of Technology
Aaron F. Bobick,Georgia Institute of Technology
Greg Turk,Georgia Institute of Technology
Merrick L. Furst,Georgia Institute of Technology
Ali Mazalek,Georgia Institute of Technology
Alexandra Mazalek,Georgia Institute of Technology
Kenneth R. Brown,Georgia Institute of Technology
Sing Bing Kang,Georgia Institute of Technology
Mark O. Riedl,Georgia Institute of Technology
Mark Riedl,Georgia Institute of Technology
Mark Owen Riedl,Georgia Institute of Technology
Eric Gilbert,Georgia Institute of Technology
Bruce N. Walker,Georgia Institute of Technology
Concettina Guerra,Georgia Institute of Technology
Mustaque Ahamad,Georgia Institute of Technology
Colin Potts,Georgia Institute of Technology
Richard J. LeBlanc,Georgia Institute of Technology
Mostafa H. Ammar,Georgia Institute of Technology
Elizabeth D. Mynatt,Georgia Institute of Technology
Dana Randall,Georgia Institute of Technology
Mike Stilman,Georgia Institute of Technology
Calton Pu,Georgia Institute of Technology
Michael L. Best,Georgia Institute of Technology
Maria-Florina Balcan,Georgia Institute of Technology
Jonathon T. Giffin,Georgia Institute of Technology
Mark Guzdial,Georgia Institute of Technology
Prasad Raghavendra,Georgia Institute of Technology
Milena Mihail,Georgia Institute of Technology
Milos Prvulovic,Georgia Institute of Technology
C. David Sherrill,Georgia Institute of Technology
Thomas M. Conte,Georgia Institute of Technology
Joel H. Saltz,Georgia Institute of Technology
George Biros,Georgia Institute of Technology
John J. Goda,Georgia Institute of Technology
Asaf Shapira,Georgia Institute of Technology
James D. Foley,Georgia Institute of Technology
Alexander G. Gray,Georgia Institute of Technology
Irfan A. Essa,Georgia Institute of Technology
Ronald C. Arkin,Georgia Institute of Technology
W. Keith Edwards,Georgia Institute of Technology
Eberhard O. Voit,Georgia Institute of Technology
Howard J. Karloff,Georgia Institute of Technology
Alessandro Orso,Georgia Institute of Technology
Guy Lebanon,Georgia Institute of Technology
Gregory D. Abowd,Georgia Institute of Technology
Nick Feamster,Georgia Institute of Technology
Ashok K. Goel,Georgia Institute of Technology
Wenke Lee,Georgia Institute of Technology
